x1,x2,d_target,output,error,membership_function
-1,-1,15,15.0018907995602,3.57512297687517e-06,gaussmf
-1,-1,14.8387919600041,14.8439726299154,2.68393407301707e-05,gaussmf
-1,-1,14.6784001632487,14.686376523121,6.36223168130071e-05,gaussmf
-1,-0.97979797979798,14.5188246097337,14.5291362253626,0.000106329416877342,gaussmf
-1,-0.97979797979798,14.3600652994592,14.3722856637797,0.000149337304124016,gaussmf
-1,-0.97979797979798,14.2021222324253,14.2158588246067,0.000188693964759823,gaussmf
-1,-0.95959595959596,14.0449954086318,14.0598896232258,0.000221837628374328,gaussmf
-1,-0.95959595959596,13.8886848280788,13.9044117664027,0.000247336589044126,gaussmf
-1,-0.95959595959596,13.7331904907662,13.7494586069212,0.000264651603231315,gaussmf
-1,-0.939393939393939,13.5785123966942,13.59506299057,0.000273922157640042,gaussmf
-1,-0.939393939393939,13.4246505458627,13.4412570945468,0.00027577745919875,gaussmf
-1,-0.939393939393939,13.2716049382716,13.2880722527513,0.000271172446172272,gaussmf
-1,-0.919191919191919,13.119375573921,13.1355387403798,0.00026124794997388,gaussmf
-1,-0.919191919191919,12.9679624528109,12.983685573992,0.000247216539675338,gaussmf
-1,-0.919191919191919,12.8173655749413,12.8325404677225,0.000230277370920434,gaussmf
-1,-0.898989898989899,12.6675849403122,12.6821297617926,0.00021155183189575,gaussmf
-1,-0.898989898989899,12.5186205489236,12.5324783218498,0.000192037870475332,gaussmf
-1,-0.898989898989899,12.3704724007754,12.3836094336444,0.000172581632600916,gaussmf
-1,-0.878787878787879,12.2231404958678,12.2355446995351,0.000153864268620784,gaussmf
-1,-0.878787878787879,12.0766248342006,12.0883039404501,0.00013640152278609,gaussmf
-1,-0.878787878787879,11.9309254157739,11.941905106018,0.000120553597857222,gaussmf
-1,-0.858585858585859,11.7860422405877,11.7963641951897,0.000106542746805793,gaussmf
-1,-0.858585858585859,11.641975308642,11.6516951894463,9.4476082849579e-05,gaussmf
-1,-0.858585858585859,11.4987246199367,11.5079100005292,8.43712166290137e-05,gaussmf
-1,-0.838383838383838,11.356290174472,11.3650184344694,7.61825225826648e-05,gaussmf
-1,-0.838383838383838,11.2146719722477,11.2230281735251,6.98260997871615e-05,gaussmf
-1,-0.838383838383838,11.073870013264,11.0819447774434,6.52018165537157e-05,gaussmf
-1,-0.818181818181818,10.9338842975207,10.9417717052314,6.22112003950491e-05,gaussmf
-1,-0.818181818181818,10.7947148250179,10.8025103583558,6.07703400226125e-05,gaussmf
-1,-0.818181818181818,10.6563615957555,10.6641601459912,6.0817385778679e-05,gaussmf
-1,-0.797979797979798,10.5188246097337,10.5267185725956,6.23146496643224e-05,gaussmf
-1,-0.797979797979798,10.3821038669524,10.3901813477212,6.52456955716682e-05,gaussmf
-1,-0.797979797979798,10.2461993674115,10.2545425175732,6.96081546216521e-05,gaussmf
-1,-0.777777777777778,10.1111111111111,10.1197946174036,7.54032815315309e-05,gaussmf
-1,-0.777777777777778,9.97683909805122,9.98592884340071,8.26234705185756e-05,gaussmf
-1,-0.777777777777778,9.84338332823181,9.8529352422964,9.12390622972676e-05,gaussmf
-1,-0.757575757575758,9.71074380165289,9.72080291648504,0.000101185791206328,gaussmf
-1,-0.757575757575758,9.57892051831446,9.58952024204114,0.000112354143082045,gaussmf
-1,-0.757575757575758,9.44791347821651,9.45907509664435,0.000124581725928658,gaussmf
-1,-0.737373737373737,9.31772268135904,9.32945509408712,0.000137649508421962,gaussmf
-1,-0.737373737373737,9.18834812774207,9.2006478217626,0.000151282472998629,gaussmf
-1,-0.737373737373737,9.05978981736557,9.07264107731845,0.000165154882376499,gaussmf
-1,-0.717171717171717,8.93204775022957,8.94542310052777,0.000178899995599681,gaussmf
-1,-0.717171717171717,8.80512192633405,8.81898279637693,0.000192123718345699,gaussmf
-1,-0.717171717171717,8.67901234567901,8.6933099454099,0.000204421358064741,gaussmf
-1,-0.696969696969697,8.55371900826446,8.56839539750072,0.000215396401014124,gaussmf
-1,-0.696969696969697,8.4292419140904,8.44423124545168,0.000224680054658136,gaussmf
-1,-0.696969696969697,8.30558106315682,8.32081097513135,0.000231950218751751,gaussmf
-1,-0.676767676767677,8.18273645546373,8.19812958926784,0.000236948568311193,gaussmf
-1,-0.676767676767677,8.06070809101112,8.07618370249006,0.000239494550647012,gaussmf
-1,-0.676767676767677,7.939495969799,7.95497160575189,0.000239495308146403,gaussmf
-1,-0.656565656565657,7.81910009182736,7.83449329886643,0.000236950822947506,gaussmf
-1,-0.656565656565657,7.69952045709621,7.71475049050527,0.000231953917640821,gaussmf
-1,-0.656565656565657,7.58075706560555,7.59574656566275,0.000224685111964852,gaussmf
-1,-0.636363636363636,7.46280991735537,7.47748652123051,0.000215402701307638,gaussmf
-1,-0.636363636363636,7.34567901234568,7.35997687095496,0.000204428760810902,gaussmf
-1,-0.636363636363636,7.22936435057647,7.24322552164313,0.000192132063339184,gaussmf
-1,-0.616161616161616,7.11386593204775,7.12724162302407,0.00017890910909388,gaussmf
-1,-0.616161616161616,6.99918375675951,7.01203539415046,0.000165164583628355,gaussmf
-1,-0.616161616161616,6.88531782471176,6.89761792962663,0.000151292580916839,gaussmf
-1,-0.595959595959596,6.7722681359045,6.78400098926538,0.000137659847987893,gaussmf
-1,-0.595959595959596,6.66003469033772,6.671196775002,0.000124592134052647,gaussmf
-1,-0.595959595959596,6.54861748801143,6.55921769902647,0.000112364473563381,gaussmf
-1,-0.575757575757576,6.43801652892562,6.44807614713349,0.000101195918488052,gaussmf
